feature_name,feature_type
网点号_部门_APD,continuous
网点号_部门_CHD,continuous
网点号_部门_CRD,continuous
网点号_部门_GBD,continuous
网点号_部门_INT,continuous
网点号_部门_OTHERS,continuous
日期_部门_APD,continuous
日期_部门_CHD,continuous
日期_部门_CRD,continuous
日期_部门_GBD,continuous
日期_部门_INT,continuous
日期_部门_OTHERS,continuous
日均余额（港币）_部门_APD,continuous
日均余额（港币）_部门_CHD,continuous
日均余额（港币）_部门_CRD,continuous
日均余额（港币）_部门_GBD,continuous
日均余额（港币）_部门_INT,continuous
日均余额（港币）_部门_OTHERS,continuous
工银速汇汇出_部门_APD,continuous
工银速汇汇出_部门_CHD,continuous
工银速汇汇出_部门_CRD,continuous
工银速汇汇出_部门_GBD,continuous
工银速汇汇出_部门_INT,continuous
工银速汇汇出_部门_OTHERS,continuous
工银速汇汇入_部门_APD,continuous
工银速汇汇入_部门_CHD,continuous
工银速汇汇入_部门_CRD,continuous
工银速汇汇入_部门_GBD,continuous
工银速汇汇入_部门_INT,continuous
工银速汇汇入_部门_OTHERS,continuous
tt汇出_部门_APD,continuous
tt汇出_部门_CHD,continuous
tt汇出_部门_CRD,continuous
tt汇出_部门_GBD,continuous
tt汇出_部门_INT,continuous
tt汇出_部门_OTHERS,continuous
tt汇入_部门_APD,continuous
tt汇入_部门_CHD,continuous
tt汇入_部门_CRD,continuous
tt汇入_部门_GBD,continuous
tt汇入_部门_INT,continuous
tt汇入_部门_OTHERS,continuous
chats汇出_部门_APD,continuous
chats汇出_部门_CHD,continuous
chats汇出_部门_CRD,continuous
chats汇出_部门_GBD,continuous
chats汇出_部门_INT,continuous
chats汇出_部门_OTHERS,continuous
chats汇入_部门_APD,continuous
chats汇入_部门_CHD,continuous
chats汇入_部门_CRD,continuous
chats汇入_部门_GBD,continuous
chats汇入_部门_INT,continuous
chats汇入_部门_OTHERS,continuous
cips汇出_部门_APD,continuous
cips汇出_部门_CHD,continuous
cips汇出_部门_CRD,continuous
cips汇出_部门_GBD,continuous
cips汇出_部门_INT,continuous
cips汇出_部门_OTHERS,continuous
cips汇入_部门_APD,continuous
cips汇入_部门_CHD,continuous
cips汇入_部门_CRD,continuous
cips汇入_部门_GBD,continuous
cips汇入_部门_INT,continuous
cips汇入_部门_OTHERS,continuous
fps汇出_部门_APD,continuous
fps汇出_部门_CHD,continuous
fps汇出_部门_CRD,continuous
fps汇出_部门_GBD,continuous
fps汇出_部门_INT,continuous
fps汇出_部门_OTHERS,continuous
fps汇入_部门_APD,continuous
fps汇入_部门_CHD,continuous
fps汇入_部门_CRD,continuous
fps汇入_部门_GBD,continuous
fps汇入_部门_INT,continuous
fps汇入_部门_OTHERS,continuous
总_部门_APD,continuous
总_部门_CHD,continuous
总_部门_CRD,continuous
总_部门_GBD,continuous
总_部门_INT,continuous
总_部门_OTHERS,continuous
汇出金额_部门_APD,continuous
汇出金额_部门_CHD,continuous
汇出金额_部门_CRD,continuous
汇出金额_部门_GBD,continuous
汇出金额_部门_INT,continuous
汇出金额_部门_OTHERS,continuous
汇入金额_部门_APD,continuous
汇入金额_部门_CHD,continuous
汇入金额_部门_CRD,continuous
汇入金额_部门_GBD,continuous
汇入金额_部门_INT,continuous
汇入金额_部门_OTHERS,continuous
fps金额出_部门_APD,continuous
fps金额出_部门_CHD,continuous
fps金额出_部门_CRD,continuous
fps金额出_部门_GBD,continuous
fps金额出_部门_INT,continuous
fps金额出_部门_OTHERS,continuous
fps金额入_部门_APD,continuous
fps金额入_部门_CHD,continuous
fps金额入_部门_CRD,continuous
fps金额入_部门_GBD,continuous
fps金额入_部门_INT,continuous
fps金额入_部门_OTHERS,continuous
cusno_对手方类型_corp,continuous
cusno_对手方类型_indv,continuous
笔数_对手方类型_corp,continuous
笔数_对手方类型_indv,continuous
金额（折港币）_对手方类型_corp,continuous
金额（折港币）_对手方类型_indv,continuous
cusno_对手方类型2_others,continuous
cusno_对手方类型2_self,continuous
笔数_对手方类型2_others,continuous
笔数_对手方类型2_self,continuous
金额（折港币）_对手方类型2_others,continuous
金额（折港币）_对手方类型2_self,continuous
网点号_日期_2024-01,continuous
网点号_日期_2024-02,continuous
网点号_日期_2024-03,continuous
